indicator,tau,delta,eta,point_count,point_prevalence,ci_lower_count,ci_upper_count,ci_lower_prev,ci_upper_prev,n_bootstrap,N_F,weight_scheme
threats_abuse_nsum,0.6000000000000001,0.9,1,37952.91691608048,0.03872746624089845,26460.096832053678,62213.533768249734,0.027000098808218038,0.0634831977227038,500,980000,SS
threats_abuse_nsum,0.65,0.9,1,35033.461768689674,0.035748430376213954,24866.635506245904,58171.455146222994,0.02537411786351623,0.05935862770022755,500,980000,SS
threats_abuse_nsum,0.7000000000000001,0.9,1,32531.0716423547,0.033194971063627246,23010.182419067205,57523.72271403036,0.023479777978640006,0.058697676238806486,500,980000,SS
threats_abuse_nsum,0.75,0.9,1,30362.333532864388,0.030981972992718765,21859.62682177103,50994.90953175034,0.0223057416548684,0.05203562197117381,500,980000,SS
threats_abuse_nsum,0.8,0.9,1,28464.687687060363,0.02904559968067384,19825.95487708993,48520.269053077674,0.020230566201112174,0.049510478625589466,500,980000,SS
threats_abuse_nsum,0.8500000000000001,0.9,1,26790.294293703868,0.027337034993575374,18724.46069289237,44987.7025588643,0.019106592543767727,0.04590581893761663,500,980000,SS
threats_abuse_nsum,0.9,0.9,1,25301.944610720326,0.02581831082726564,17853.59878105032,44529.551359189514,0.018217957939847266,0.04543831771345869,500,980000,SS
threats_abuse_nsum,0.9500000000000001,0.9,1,23970.26331541925,0.024459452362672707,17096.007700017468,40359.949823653544,0.017444905816344353,0.04118362226903423,500,980000,SS
threats_abuse_nsum,1,0.9,1,22771.75014964829,0.023236479744539074,16157.565978314818,39067.48671846886,0.016487312222770223,0.03986478236578456,500,980000,SS
excessive_hours_nsum,0.4,0.9,1,63209.852122430035,0.06449984910452045,43737.68568909475,113144.39468789831,0.044630291519484444,0.11545346396724318,500,980000,SS
excessive_hours_nsum,0.45,0.9,1,56186.53521993782,0.05733319920401818,38804.54641975432,97807.535932628,0.03959647593852481,0.09980360809451837,500,980000,SS
excessive_hours_nsum,0.5,0.9,1,50567.88169794403,0.05159987928361636,36118.471031152534,87215.43476105807,0.03685558268484952,0.0889953415929164,500,980000,SS
excessive_hours_nsum,0.55,0.9,1,45970.80154358548,0.04690898116692396,31132.84042471023,78108.40454043099,0.03176820451501044,0.07970245361268469,500,980000,SS
excessive_hours_nsum,0.6000000000000001,0.9,1,42139.901414953354,0.042999899403013624,29643.768363640742,73866.12762040104,0.03024874322820484,0.07537359961265412,500,980000,SS
excessive_hours_nsum,0.65,0.9,1,38898.37053688002,0.039692214833551044,27669.043349345484,69480.6275648197,0.02823371770341376,0.07089859955593847,500,980000,SS
excessive_hours_nsum,0.7000000000000001,0.9,1,36119.915498531445,0.03685705663115454,25345.342641159048,60613.38234635987,0.025862594531794948,0.061850390149346804,500,980000,SS
excessive_hours_nsum,0.75,0.9,1,33711.921131962685,0.0343999195224109,23596.414384449883,59091.93767153903,0.024077973861683553,0.060297895583203094,500,980000,SS
excessive_hours_nsum,0.8,0.9,1,31604.926061215017,0.03224992455226022,22248.23644272206,55656.478873131535,0.022702282084410264,0.05679232538074647,500,980000,SS
excessive_hours_nsum,0.8500000000000001,0.9,1,29745.812763496484,0.03035287016683315,20342.233202260035,50047.14694097356,0.02075738081863269,0.051068517286707714,500,980000,SS
excessive_hours_nsum,0.9,0.9,1,28093.26760996891,0.02866659960200909,19238.09928381093,49224.436395116034,0.019630713554909113,0.05022901672971024,500,980000,SS
excessive_hours_nsum,0.9500000000000001,0.9,1,26614.674577865277,0.027157831201903345,18700.884848500435,47173.833629671455,0.01908253555969432,0.04813656492823618,500,980000,SS
excessive_hours_nsum,1,0.9,1,25283.940848972015,0.02579993964180818,17022.797674097757,42192.68087080667,0.01737020170826302,0.04305375599061905,500,980000,SS
access_to_help_nsum,0.4,0.9,1,43078.483525094474,0.0439576362500964,20241.79654294611,94801.8941525053,0.020654894431577666,0.0967366266862299,500,980000,SS
access_to_help_nsum,0.45,0.9,1,38291.98535563953,0.039073454444530135,17245.980944014344,88414.08344621875,0.017597939738790147,0.09021845249614158,500,980000,SS
access_to_help_nsum,0.5,0.9,1,34462.78682007558,0.03516610900007712,17015.313595017004,79702.87415772084,0.017362564892874494,0.08132946342624575,500,980000,SS
access_to_help_nsum,0.55,0.9,1,31329.806200068706,0.031969190000070105,15888.021427799513,66230.7516608885,0.01621226676306073,0.06758239965396787,500,980000,SS
access_to_help_nsum,0.6000000000000001,0.9,1,28718.989016729643,0.029305090833397596,13763.033389006687,64333.6652668757,0.014043911621435395,0.06564659721109765,500,980000,SS
access_to_help_nsum,0.65,0.9,1,26509.83601544275,0.0270508530769824,12788.901122065356,58272.2794814665,0.013049899104148322,0.05946150967496582,500,980000,SS
access_to_help_nsum,0.7000000000000001,0.9,1,24616.27630005398,0.02511864928576937,10899.327941113148,55557.81586043055,0.011121763205217497,0.05669164883717403,500,980000,SS
access_to_help_nsum,0.75,0.9,1,22975.191213383718,0.02344407266671808,11329.510608395838,50940.804474739256,0.011560725110607998,0.05198041272932577,500,980000,SS
access_to_help_nsum,0.8,0.9,1,21539.241762547237,0.0219788181250482,9452.437863960662,45483.35945093823,0.009645344759143533,0.04641159127646758,500,980000,SS
access_to_help_nsum,0.8500000000000001,0.9,1,20272.227541220924,0.020685946470633595,9013.395013855108,45965.835353418835,0.00919734185087256,0.046903913625937585,500,980000,SS
access_to_help_nsum,0.9,0.9,1,19145.992677819766,0.019536727222265068,9757.942198435427,42882.4069886311,0.009957083875954518,0.043757558151664384,500,980000,SS
access_to_help_nsum,0.9500000000000001,0.9,1,18138.308852671355,0.018508478421093218,8566.180697388663,41789.1791446109,0.008741000711621085,0.042642019535317245,500,980000,SS
access_to_help_nsum,1,0.9,1,17231.39341003779,0.01758305450003856,8443.870276482387,39135.20997552784,0.008616194159675905,0.03993388773013045,500,980000,SS
