indicator_name,indicator,confidence_level,scheme,N_F,y_FH,v_HF,NSUM_estimate,NSUM_prevalence,rds_prevalence,rds_estimate,nsum_rds_ratio,n_total,n_out_reports,n_hidden_visibility,n_rds,nsum_ci_lower,nsum_ci_upper,rds_ci_lower,rds_ci_upper,error
pay_issues,pay_issues_rds,high,ss_980k,980000,325554.07083830464,3.9319948022860345,82796.16001756405,0.08448587756894291,0.49652701380429315,486596.4735282073,0.17015363760700267,85,85,46,85,41658.360198238806,152928.31257767772,329436.90597357793,645828.3082884776,NA
pay_issues,pay_issues_rds,high,ss_980k,1740000,325554.07083830464,3.9319948022860345,82796.16001756405,0.04758400001009428,0.49652701380429315,863957.0040194701,0.09583365796256473,85,85,46,85,NA,NA,NA,NA,NA
pay_issues,pay_issues_rds,high,ss_100k,50000,33219.8031467658,3.931994802286041,8448.587756894281,0.16897175513788562,0.4965270138042929,24826.350690214647,0.3403072752140051,85,85,46,85,NA,NA,NA,NA,NA
pay_issues,pay_issues_rds,high,ss_100k,100000,33219.8031467658,3.931994802286041,8448.587756894281,0.08448587756894281,0.4965270138042929,49652.701380429295,0.17015363760700256,85,85,46,85,NA,NA,NA,NA,NA
pay_issues,pay_issues_rds,high,ss_100k,980000,33219.8031467658,3.931994802286041,8448.587756894281,0.008621007915198247,0.4965270138042929,486596.47352820705,0.0173626160823472,85,85,46,85,4009.7412878859814,14868.036057468782,345356.3766682936,632270.4809367855,NA
pay_issues,pay_issues_rds,high,ss_100k,1740000,33219.8031467658,3.931994802286041,8448.587756894281,0.004855510205111656,0.4965270138042929,863957.0040194697,0.009778944690057618,85,85,46,85,NA,NA,NA,NA,NA
pay_issues,pay_issues_rds,high,ss_050k,50000,16609.9015733829,3.931994802286041,4224.293878447141,0.08448587756894281,0.4965270138042929,24826.350690214647,0.17015363760700256,85,85,46,85,NA,NA,NA,NA,NA
pay_issues,pay_issues_rds,high,ss_050k,100000,16609.9015733829,3.931994802286041,4224.293878447141,0.042242938784471405,0.4965270138042929,49652.701380429295,0.08507681880350128,85,85,46,85,NA,NA,NA,NA,NA
pay_issues,pay_issues_rds,high,ss_050k,980000,16609.9015733829,3.931994802286041,4224.293878447141,0.0043105039575991235,0.4965270138042929,486596.47352820705,0.0086813080411736,85,85,46,85,2118.7030503884216,7569.438615992236,344232.207330964,640434.5271556961,NA
pay_issues,pay_issues_rds,high,ss_050k,1740000,16609.9015733829,3.931994802286041,4224.293878447141,0.002427755102555828,0.4965270138042929,863957.0040194697,0.004889472345028809,85,85,46,85,NA,NA,NA,NA,NA
