indicator_name,indicator,confidence_level,scheme,N_F,y_FH,d_FF,basic_estimate,basic_prevalence,degree_ratio,true_positive_rate,adjusted_estimate,adjusted_prevalence,rds_prevalence,rds_estimate,empirical_degree_ratio,basic_rds_ratio,adjusted_rds_ratio,n_total,n_out_reports,n_degree,n_hidden,n_rds,basic_ci_lower,basic_ci_upper,adjusted_ci_lower,adjusted_ci_upper,rds_ci_lower,rds_ci_upper,error
pay_issues,pay_issues_rds,high,vh_100k,50000,28.23683267475094,3.5602950638429047,396551.86112963234,7.931037222592646,1,1,396551.86112963234,7.931037222592646,0.4965270138042929,24826.350690214647,1.1044013857778197,15.973022619306429,15.973022619306429,85,85,80,46,85,NA,NA,NA,NA,NA,NA,NA
pay_issues,pay_issues_rds,high,vh_100k,100000,28.23683267475094,3.5602950638429047,793103.7222592647,7.931037222592646,1,1,793103.7222592647,7.931037222592646,0.4965270138042929,49652.701380429295,1.1044013857778197,15.973022619306429,15.973022619306429,85,85,80,46,85,NA,NA,NA,NA,NA,NA,NA
pay_issues,pay_issues_rds,high,vh_100k,980000,28.23683267475094,3.5602950638429047,7772416.478140794,7.931037222592646,1,1,7772416.478140794,7.931037222592646,0.4965270138042929,486596.47352820705,1.1044013857778197,15.97302261930643,15.97302261930643,85,85,80,46,85,4533731.614644905,11838497.36002847,4533731.614644905,11838497.36002847,349045.9468162606,638146.5411896674,NA
pay_issues,pay_issues_rds,high,vh_100k,1740000,28.23683267475094,3.5602950638429047,13800004.767311204,7.931037222592646,1,1,13800004.767311204,7.931037222592646,0.4965270138042929,863957.0040194697,1.1044013857778197,15.973022619306429,15.973022619306429,85,85,80,46,85,NA,NA,NA,NA,NA,NA,NA
pay_issues,pay_issues_rds,high,vh_050k,50000,28.23683267475094,3.5602950638429047,396551.86112963234,7.931037222592646,1,1,396551.86112963234,7.931037222592646,0.4965270138042929,24826.350690214647,1.1044013857778197,15.973022619306429,15.973022619306429,85,85,80,46,85,NA,NA,NA,NA,NA,NA,NA
pay_issues,pay_issues_rds,high,vh_050k,100000,28.23683267475094,3.5602950638429047,793103.7222592647,7.931037222592646,1,1,793103.7222592647,7.931037222592646,0.4965270138042929,49652.701380429295,1.1044013857778197,15.973022619306429,15.973022619306429,85,85,80,46,85,NA,NA,NA,NA,NA,NA,NA
pay_issues,pay_issues_rds,high,vh_050k,980000,28.23683267475094,3.5602950638429047,7772416.478140794,7.931037222592646,1,1,7772416.478140794,7.931037222592646,0.4965270138042929,486596.47352820705,1.1044013857778197,15.97302261930643,15.97302261930643,85,85,80,46,85,4414883.070416574,11740017.852827426,4414883.070416574,11740017.852827426,339729.9930284658,649780.3565231623,NA
pay_issues,pay_issues_rds,high,vh_050k,1740000,28.23683267475094,3.5602950638429047,13800004.767311204,7.931037222592646,1,1,13800004.767311204,7.931037222592646,0.4965270138042929,863957.0040194697,1.1044013857778197,15.973022619306429,15.973022619306429,85,85,80,46,85,NA,NA,NA,NA,NA,NA,NA
pay_issues,pay_issues_rds,high,ss_980k,50000,28.236832674750946,3.560295063842905,396551.8611296324,7.931037222592648,1,1,396551.8611296324,7.931037222592648,0.4965270138042929,24826.350690214647,1.1044013857778192,15.97302261930643,15.97302261930643,85,85,80,46,85,NA,NA,NA,NA,NA,NA,NA
pay_issues,pay_issues_rds,high,ss_980k,100000,28.236832674750946,3.560295063842905,793103.7222592648,7.931037222592648,1,1,793103.7222592648,7.931037222592648,0.4965270138042929,49652.701380429295,1.1044013857778192,15.97302261930643,15.97302261930643,85,85,80,46,85,NA,NA,NA,NA,NA,NA,NA
